bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,40000,45000,0.0,0.75,ALL,ols_std,-0.009668180665337145,0.0,0.17998451259265136,0.17998451259265136,-0.004684929044673214,-0.002277558133954078,-0.0017576461236405597,-0.002256028006933223,-0.003936883644661974,0.002308241917351958,0.0,17
development,40000,45000,0.0,0.75,CLS,ridge,-0.009668156544478659,0.0,0.17998406005649117,0.17998406005649117,-0.004684633761166253,-0.002277426241961885,-0.001757487470179227,-0.0022558850425260157,-0.003936680421413115,0.0023080738624724688,0.0,8
development,40000,45000,0.0,0.75,CLS,ols_std,-0.009668180665337114,0.0,0.17998451259265133,0.17998451259265133,-0.004684929044673214,-0.0022775581339540413,-0.0017576461236405597,-0.0022560280069332072,-0.003936883644661937,0.002308241917351958,0.0,8
development,40000,45000,0.0,1.0,R,ridge,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,1.0,R,ols_std,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,1.0,R,ols_raw,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,1.0,P,ridge,-0.010394014369895383,0.0,0.27744602881482944,0.27763677738243525,-0.006496025420187956,-0.0021285311586117794,-0.0017781723617503861,-0.0023031449499633628,-0.005365224663825052,0.0015277033264584512,0.0,1
development,40000,45000,0.0,1.0,P,ols_std,-0.01039483789296658,0.0,0.2774526028439547,0.2776435227633062,-0.006499661108788746,-0.002129477839846336,-0.0017794171321022431,-0.002304309267078677,-0.00536776513479816,0.0015287755618102357,0.0,1
development,40000,45000,0.0,1.0,P,ols_raw,-0.010394837892966611,0.0,0.2774526028439546,0.2776435227633062,-0.006499661108788746,-0.002129477839846345,-0.0017794171321022473,-0.002304309267078683,-0.00536776513479816,0.0015287755618102357,0.0,1
development,40000,45000,0.0,1.0,J,ridge,-0.010394734857432919,0.0,0.27745178828975214,0.2776426867595593,-0.006499206347706695,-0.0021293594286282045,-0.0017792614317671698,-0.0023041636231847656,-0.005367447339331181,0.0015286414753008788,0.0,8
