bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.5,CLS,ridge,N,0.09081108056409327,0.018728852308915595,10
development,0.0,0.5,CLS,ridge,N_long_C1,-0.004752786124868064,0.001864303875320573,10
development,0.0,0.5,J,ols_raw,M,-0.004838482099667238,0.004045200203835193,10
development,0.0,0.5,J,ols_raw,N,0.09081115325033144,0.018729518067183086,10
development,0.0,0.5,J,ols_raw,N_long_C1,-0.004753004693014265,0.0018643923242494082,10
development,0.0,0.5,J,ols_std,M,-0.004838482099667247,0.004045200203835195,10
development,0.0,0.5,J,ols_std,N,0.09081115325033146,0.0187295180671831,10
development,0.0,0.5,J,ols_std,N_long_C1,-0.00475300469301426,0.0018643923242494197,10
development,0.0,0.5,J,ridge,M,-0.0048383415910045625,0.004045147987504271,10
development,0.0,0.5,J,ridge,N,0.09081108056409327,0.018728852308915595,10
development,0.0,0.5,J,ridge,N_long_C1,-0.004752786124868064,0.001864303875320573,10
development,0.0,0.5,P,ols_raw,M,-0.0048384820996672465,0.004045200203835189,10
development,0.0,0.5,P,ols_raw,N,0.09081115325033143,0.01872951806718308,10
development,0.0,0.5,P,ols_raw,N_long_C1,-0.004753004693014248,0.0018643923242494132,10
development,0.0,0.5,P,ols_std,M,-0.0048384820996672405,0.004045200203835189,10
development,0.0,0.5,P,ols_std,N,0.09081115325033143,0.018729518067183086,10
development,0.0,0.5,P,ols_std,N_long_C1,-0.0047530046930142605,0.0018643923242494323,10
development,0.0,0.5,P,ridge,M,-0.004837358777608812,0.004044782812144974,10
development,0.0,0.5,P,ridge,N,0.09081055089371526,0.018724192547960358,10
development,0.0,0.5,P,ridge,N_long_C1,-0.004751257327145696,0.0018636851895413905,10
development,0.0,0.5,R,ols_raw,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.5,R,ols_raw,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.5,R,ols_raw,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.5,R,ols_std,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.5,R,ols_std,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.5,R,ols_std,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.5,R,ridge,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.5,R,ridge,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.5,R,ridge,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.75,ALL,ols_std,M,-0.004927775869828241,0.003966714303009991,10
development,0.0,0.75,ALL,ols_std,N,0.18471778876093273,0.013978210209240215,10
development,0.0,0.75,ALL,ols_std,N_long_C1,-0.004675049930762242,0.0018348871825710367,10
development,0.0,0.75,ALL,ridge,M,-0.004927646399367237,0.003966672567997359,10
development,0.0,0.75,ALL,ridge,N,0.18471787741839057,0.013978038294355857,10
development,0.0,0.75,ALL,ridge,N_long_C1,-0.00467485350901249,0.0018348134445966293,10
development,0.0,0.75,CLS,ols_std,M,-0.004927775869828248,0.003966714303009971,10
