bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.75,CLS,ridge,M,-0.006126385256053487,0.003998248803352545,10
development,0.0,0.75,CLS,ridge,N,0.9999482821659822,3.342075938966608e-05,10
development,0.0,0.75,CLS,ridge,N_long_C1,-0.013493521137137287,0.011987880670255984,10
development,0.0,0.75,J,ols_raw,M,-0.00635232421838446,0.003964092033520035,10
development,0.0,0.75,J,ols_raw,N,1.0,0.0,10
development,0.0,0.75,J,ols_raw,N_long_C1,-0.01394709690914434,0.012218127958697984,10
development,0.0,0.75,J,ols_std,M,-0.006352324218384506,0.0039640920335200095,10
development,0.0,0.75,J,ols_std,N,1.0,0.0,10
development,0.0,0.75,J,ols_std,N_long_C1,-0.013947096909144386,0.01221812795869805,10
development,0.0,0.75,J,ridge,M,-0.0059843466268572594,0.0040266528753528106,10
development,0.0,0.75,J,ridge,N,0.999820374536798,9.79206654677007e-05,10
development,0.0,0.75,J,ridge,N_long_C1,-0.013196650821741384,0.011821051522872801,10
development,0.0,0.75,P,ols_raw,M,-0.0055856433322446246,0.004130969009783505,10
development,0.0,0.75,P,ols_raw,N,1.0,0.0,10
development,0.0,0.75,P,ols_raw,N_long_C1,-0.011866542031255907,0.010851553607435591,10
development,0.0,0.75,P,ols_std,M,-0.005585643332244658,0.004130969009783536,10
development,0.0,0.75,P,ols_std,N,1.0,0.0,10
development,0.0,0.75,P,ols_std,N_long_C1,-0.011866542031255927,0.010851553607435583,10
development,0.0,0.75,P,ridge,M,-0.00500256220349899,0.0041871745373670876,10
development,0.0,0.75,P,ridge,N,0.9687302954825245,0.030008769808618205,10
development,0.0,0.75,P,ridge,N_long_C1,-0.010984687938700315,0.010413025052564119,10
development,0.0,0.75,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,0.75,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,0.75,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,0.75,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,0.75,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,0.75,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,0.75,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,0.75,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,0.75,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.0,1.0,ALL,ols_std,M,-0.006352324218347756,0.003964092033474234,10
development,0.0,1.0,ALL,ols_std,N,1.0,0.0,10
development,0.0,1.0,ALL,ols_std,N_long_C1,-0.013947096909148207,0.012218127958699159,10
development,0.0,1.0,ALL,ridge,M,-0.006225656215319893,0.003988269966027899,10
development,0.0,1.0,ALL,ridge,N,0.9999862725931216,1.1062940199160668e-05,10
development,0.0,1.0,ALL,ridge,N_long_C1,-0.013658714893162154,0.012066414203810152,10
development,0.0,1.0,CLS,ols_std,M,-0.006352324218384523,0.003964092033519958,10
development,0.0,1.0,CLS,ols_std,N,1.0,0.0,10
development,0.0,1.0,CLS,ols_std,N_long_C1,-0.013947096909144316,0.012218127958698003,10
development,0.0,1.0,CLS,ridge,M,-0.00627243665629351,0.003975645093474957,10
development,0.0,1.0,CLS,ridge,N,0.9999946799353893,4.799058797578979e-06,10
development,0.0,1.0,CLS,ridge,N_long_C1,-0.013767380543947183,0.012123807413722163,10
development,0.0,1.0,J,ols_raw,M,-0.006352324218384478,0.003964092033520008,10
development,0.0,1.0,J,ols_raw,N,1.0,0.0,10
development,0.0,1.0,J,ols_raw,N_long_C1,-0.013947096909144313,0.012218127958698,10
development,0.0,1.0,J,ols_std,M,-0.006352324218384477,0.0039640920335200095,10
development,0.0,1.0,J,ols_std,N,1.0,0.0,10
development,0.0,1.0,J,ols_std,N_long_C1,-0.01394709690914429,0.012218127958697965,10
development,0.0,1.0,J,ridge,M,-0.0062099587559334025,0.003992558219290802,10
development,0.0,1.0,J,ridge,N,0.9999792894520134,1.5836427779128298e-05,10
development,0.0,1.0,J,ridge,N_long_C1,-0.013627835946578376,0.012049297536978934,10
development,0.0,1.0,P,ols_raw,M,-0.005585643332244717,0.00413096900978346,10
development,0.0,1.0,P,ols_raw,N,1.0,0.0,10
development,0.0,1.0,P,ols_raw,N_long_C1,-0.011866542031255903,0.01085155360743561,10
development,0.0,1.0,P,ols_std,M,-0.005585643332244681,0.0041309690097835,10
development,0.0,1.0,P,ols_std,N,1.0,0.0,10
development,0.0,1.0,P,ols_std,N_long_C1,-0.01186654203125594,0.010851553607435638,10
development,0.0,1.0,P,ridge,M,-0.005267844364199562,0.004173854218311354,10
development,0.0,1.0,P,ridge,N,0.9874238165445407,0.018175654187441676,10
development,0.0,1.0,P,ridge,N_long_C1,-0.011310969917015083,0.010643210684455597,10
development,0.0,1.0,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,1.0,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,1.0,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,1.0,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,1.0,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,1.0,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,1.0,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,1.0,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,1.0,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.25,0.0,ALL,ols_std,M,0.44331930620667004,0.035986357316710564,10
development,0.25,0.0,ALL,ols_std,N,0.32113771250912976,0.007838069838007179,10
development,0.25,0.0,ALL,ols_std,N_long_C1,0.01998203682782766,0.029227670974822043,10
development,0.25,0.0,ALL,ridge,M,0.14726314996398043,0.009240220413184192,10
development,0.25,0.0,ALL,ridge,N,0.3295180025574061,0.004013063683977539,10
development,0.25,0.0,ALL,ridge,N_long_C1,-0.01296189747117436,0.005596807890272341,10
development,0.25,0.0,CLS,ols_std,M,0.06298822674990309,0.014370641319353051,10
development,0.25,0.0,CLS,ols_std,N,0.3268888265026542,0.0058544673612042535,10
development,0.25,0.0,CLS,ols_std,N_long_C1,-0.00539530639474612,0.01340126785042428,10
development,0.25,0.0,CLS,ridge,M,-0.002909262227256217,0.005535481263301467,10
development,0.25,0.0,CLS,ridge,N,0.3301035846618218,0.003907626837095486,10
development,0.25,0.0,CLS,ridge,N_long_C1,-0.011468182088812487,0.005739619902005213,10
development,0.25,0.0,J,ols_raw,M,0.06298822674990269,0.014370641319349231,10
development,0.25,0.0,J,ols_raw,N,0.3268888265026583,0.005854467361209486,10
development,0.25,0.0,J,ols_raw,N_long_C1,-0.005395306394744488,0.013401267850424501,10
development,0.25,0.0,J,ols_std,M,0.06298822674989571,0.014370641319361352,10
development,0.25,0.0,J,ols_std,N,0.32688882650267503,0.005854467361245218,10
development,0.25,0.0,J,ols_std,N_long_C1,-0.005395306394751156,0.01340126785042801,10
development,0.25,0.0,J,ridge,M,-0.0033009488542881833,0.0047053388474781925,10
development,0.25,0.0,J,ridge,N,0.33020749406087313,0.003739353326418323,10
development,0.25,0.0,J,ridge,N_long_C1,-0.0108242113023404,0.005625730290971359,10
development,0.25,0.0,P,ols_raw,M,-0.002920768685716029,0.003042713841709376,10
development,0.25,0.0,P,ols_raw,N,-0.0024833270677342865,0.002903028521689363,10
development,0.25,0.0,P,ols_raw,N_long_C1,-0.004483465584648341,0.0034322138743281085,10
development,0.25,0.0,P,ols_std,M,-0.0029207686857160324,0.0030427138417093796,10
development,0.25,0.0,P,ols_std,N,-0.0024833270677342496,0.002903028521689373,10
development,0.25,0.0,P,ols_std,N_long_C1,-0.00448346558464833,0.003432213874328122,10
development,0.25,0.0,P,ridge,M,-0.0029206863054240155,0.0030426890936963813,10
development,0.25,0.0,P,ridge,N,-0.002483258789003662,0.0029029365605964708,10
development,0.25,0.0,P,ridge,N_long_C1,-0.004483312916441285,0.003432110954742635,10
development,0.25,0.0,R,ols_raw,M,0.3170166924903911,0.03734125320711818,10
development,0.25,0.0,R,ols_raw,N,-0.008191817069900114,0.005671000525952428,10
development,0.25,0.0,R,ols_raw,N_long_C1,-0.013299672525151573,0.003967252831643621,10
development,0.25,0.0,R,ols_std,M,0.3170166924903908,0.03734125320711786,10
development,0.25,0.0,R,ols_std,N,-0.008191817069899805,0.005671000525950443,10
development,0.25,0.0,R,ols_std,N_long_C1,-0.01329967252515217,0.003967252831643628,10
development,0.25,0.0,R,ridge,M,0.14273778656071426,0.004453455034393478,10
development,0.25,0.0,R,ridge,N,-0.0034665495537558,0.002979972037352939,10
development,0.25,0.0,R,ridge,N_long_C1,-0.007867796332503419,0.003904868829171851,10
development,0.25,0.25,ALL,ols_std,M,0.5108173249955429,0.030952739543534297,10
development,0.25,0.25,ALL,ols_std,N,1.0,0.0,10
development,0.25,0.25,ALL,ols_std,N_long_C1,0.36984351592776415,0.029476348026069847,10
development,0.25,0.25,ALL,ridge,M,0.14521527626233405,0.009274732130769467,10
development,0.25,0.25,ALL,ridge,N,0.9930613763764982,0.0040177403869139676,10
development,0.25,0.25,ALL,ridge,N_long_C1,-0.017792354181006477,0.009932319055997505,10
development,0.25,0.25,CLS,ols_std,M,0.2869715689453522,0.035914222557383364,10
development,0.25,0.25,CLS,ols_std,N,0.9999999938816571,6.7849933233604775e-09,10
development,0.25,0.25,CLS,ols_std,N_long_C1,0.22868897397626425,0.03299374275446192,10
development,0.25,0.25,CLS,ridge,M,0.008114639471836469,0.015353564095541604,10
development,0.25,0.25,CLS,ridge,N,0.9949510993626367,0.002995567032334343,10
development,0.25,0.25,CLS,ridge,N_long_C1,-0.016514806754481456,0.010217607034685508,10
development,0.25,0.25,J,ols_raw,M,0.2841489271978252,0.037259370057203284,10
development,0.25,0.25,J,ols_raw,N,0.9999999917035686,1.0856468930972063e-08,10
development,0.25,0.25,J,ols_raw,N_long_C1,0.22751537824749346,0.033540104708849536,10
development,0.25,0.25,J,ols_std,M,0.28414892715105833,0.037259370047694904,10
development,0.25,0.25,J,ols_std,N,0.9999999917035686,1.0856468930972063e-08,10
development,0.25,0.25,J,ols_std,N_long_C1,0.22751537828557997,0.0335401046685358,10
development,0.25,0.25,J,ridge,M,0.001555286827337272,0.010258729549031335,10
development,0.25,0.25,J,ridge,N,0.9892687556278759,0.005390962231942416,10
development,0.25,0.25,J,ridge,N_long_C1,-0.015490574238468871,0.009921108050233407,10
development,0.25,0.25,P,ols_raw,M,-0.005585643332244721,0.00413096900978349,10
development,0.25,0.25,P,ols_raw,N,1.0,0.0,10
development,0.25,0.25,P,ols_raw,N_long_C1,-0.011866542031255933,0.010851553607435567,10
development,0.25,0.25,P,ols_std,M,-0.005585643332244719,0.00413096900978354,10
development,0.25,0.25,P,ols_std,N,1.0,0.0,10
development,0.25,0.25,P,ols_std,N_long_C1,-0.011866542031255924,0.010851553607435683,10
development,0.25,0.25,P,ridge,M,-0.0037430947564411196,0.003687624145426265,10
development,0.25,0.25,P,ridge,N,0.7161256932276305,0.09877838179886249,10
development,0.25,0.25,P,ridge,N_long_C1,-0.008528569408045649,0.007752853057832795,10
development,0.25,0.25,R,ols_raw,M,0.3170166924903911,0.03734125320711818,10
development,0.25,0.25,R,ols_raw,N,-0.008191817069900114,0.005671000525952428,10
development,0.25,0.25,R,ols_raw,N_long_C1,-0.013299672525151573,0.003967252831643621,10
development,0.25,0.25,R,ols_std,M,0.3170166924903908,0.03734125320711786,10
development,0.25,0.25,R,ols_std,N,-0.008191817069899805,0.005671000525950443,10
development,0.25,0.25,R,ols_std,N_long_C1,-0.01329967252515217,0.003967252831643628,10
development,0.25,0.25,R,ridge,M,0.14273778656071426,0.004453455034393478,10
development,0.25,0.25,R,ridge,N,-0.0034665495537558,0.002979972037352939,10
development,0.25,0.25,R,ridge,N_long_C1,-0.007867796332503419,0.003904868829171851,10
development,0.25,0.5,ALL,ols_std,M,0.5108246939671215,0.03095739197714405,10
development,0.25,0.5,ALL,ols_std,N,1.0,0.0,10
development,0.25,0.5,ALL,ols_std,N_long_C1,0.369827587581298,0.02949851324160405,10
development,0.25,0.5,ALL,ridge,M,0.14488144008998996,0.009276733302036402,10
development,0.25,0.5,ALL,ridge,N,0.9983629517848946,0.0009380555386792467,10
development,0.25,0.5,ALL,ridge,N_long_C1,-0.018690799749057706,0.010410699314319365,10
development,0.25,0.5,CLS,ols_std,M,0.2869715689351402,0.0359142225520753,10
development,0.25,0.5,CLS,ols_std,N,0.9999999938816571,6.7849933233604775e-09,10
development,0.25,0.5,CLS,ols_std,N_long_C1,0.22868897396975899,0.032993742767372124,10
development,0.25,0.5,CLS,ridge,M,0.016435081342013564,0.01628864251230412,10
development,0.25,0.5,CLS,ridge,N,0.9988482885853627,0.0005800605303115388,10
development,0.25,0.5,CLS,ridge,N_long_C1,-0.017435276597342713,0.01043326035877925,10
development,0.25,0.5,J,ols_raw,M,0.28402478878638654,0.03732222437045628,10
development,0.25,0.5,J,ols_raw,N,0.9999999916692242,1.0956444986026656e-08,10
development,0.25,0.5,J,ols_raw,N_long_C1,0.22746991563072455,0.0335654175102816,10
development,0.25,0.5,J,ols_std,M,0.2840247883419783,0.03732222409580075,10
development,0.25,0.5,J,ols_std,N,0.9999999916692242,1.0956444986026656e-08,10
development,0.25,0.5,J,ols_std,N_long_C1,0.2274699157188603,0.03356541747449416,10
development,0.25,0.5,J,ridge,M,0.006723735155628905,0.011453425933132947,10
development,0.25,0.5,J,ridge,N,0.9976260573697676,0.0011375926571581298,10
development,0.25,0.5,J,ridge,N_long_C1,-0.016434990412035385,0.010350180592297389,10
development,0.25,0.5,P,ols_raw,M,-0.00558564333224462,0.004130969009783608,10
development,0.25,0.5,P,ols_raw,N,1.0,0.0,10
development,0.25,0.5,P,ols_raw,N_long_C1,-0.011866542031255886,0.010851553607435574,10
development,0.25,0.5,P,ols_std,M,-0.00558564333224462,0.004130969009783571,10
development,0.25,0.5,P,ols_std,N,1.0,0.0,10
development,0.25,0.5,P,ols_std,N_long_C1,-0.01186654203125583,0.010851553607435624,10
development,0.25,0.5,P,ridge,M,-0.004528938630338158,0.004090979250769754,10
development,0.25,0.5,P,ridge,N,0.9090488697717051,0.05327927122061055,10
development,0.25,0.5,P,ridge,N_long_C1,-0.010313426644802944,0.009833388129781115,10
development,0.25,0.5,R,ols_raw,M,0.3170166924903911,0.03734125320711818,10
development,0.25,0.5,R,ols_raw,N,-0.008191817069900114,0.005671000525952428,10
development,0.25,0.5,R,ols_raw,N_long_C1,-0.013299672525151573,0.003967252831643621,10
development,0.25,0.5,R,ols_std,M,0.3170166924903908,0.03734125320711786,10
development,0.25,0.5,R,ols_std,N,-0.008191817069899805,0.005671000525950443,10
development,0.25,0.5,R,ols_std,N_long_C1,-0.01329967252515217,0.003967252831643628,10
development,0.25,0.5,R,ridge,M,0.14273778656071426,0.004453455034393478,10
development,0.25,0.5,R,ridge,N,-0.0034665495537558,0.002979972037352939,10
development,0.25,0.5,R,ridge,N_long_C1,-0.007867796332503419,0.003904868829171851,10
development,0.25,0.75,ALL,ols_std,M,0.5108445018650924,0.030969578768340857,10
development,0.25,0.75,ALL,ols_std,N,1.0,0.0,10
development,0.25,0.75,ALL,ols_std,N_long_C1,0.369825019963966,0.029519064093454398,10
development,0.25,0.75,ALL,ridge,M,0.14449354703499448,0.009248278909516513,10
development,0.25,0.75,ALL,ridge,N,0.9995706800766395,0.0002010965675819372,10
development,0.25,0.75,ALL,ridge,N_long_C1,-0.019456196908954514,0.01063544631571359,10
development,0.25,0.75,CLS,ols_std,M,0.2869715689363125,0.03591422255116779,10
development,0.25,0.75,CLS,ols_std,N,0.9999999938816571,6.7849933233604775e-09,10
development,0.25,0.75,CLS,ols_std,N_long_C1,0.2286889739653258,0.03299374276162824,10
development,0.25,0.75,CLS,ridge,M,0.022867891026627864,0.01491997800999369,10
development,0.25,0.75,CLS,ridge,N,0.9996008519129781,0.00018450473172449455,10
development,0.25,0.75,CLS,ridge,N_long_C1,-0.018143520631079636,0.010428897987394756,10
