bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,20000,30000,0.0,0.5,J,ols_raw,-0.005285910178124346,0.0,1.0,1.0,-0.011035648554032681,-0.005865188252731625,-0.009961949819847308,-0.009644122216296758,-0.005240159331758809,0.004559932444467135,0.017543859649122806,72
development,20000,30000,0.0,0.5,ALL,ridge,-0.0035766757425223744,0.00047888851407302494,0.9991892026968018,0.9991892026968018,-0.009485035663156829,-0.005081360208292469,-0.008837629644754501,-0.009010509054057213,-0.00527764128796665,0.004090762325281884,0.017543859649122806,95
development,20000,30000,0.0,0.5,ALL,ols_std,-0.005285910178136114,0.0,1.0,1.0,-0.011035648554039787,-0.005865188252729164,-0.009961949819837014,-0.009644122216303048,-0.005240159331751297,0.004559932444542253,0.017543859649122806,95
development,20000,30000,0.0,0.5,CLS,ridge,-0.004137050502661269,0.00012201660623851434,0.9997104138516967,0.9997104138516967,-0.009972682084259785,-0.005292633803408391,-0.00919908740320073,-0.00915399397680675,-0.005165826292773457,0.003933787022727575,0.017543859649122806,132
development,20000,30000,0.0,0.5,CLS,ols_std,-0.005285910178124282,0.0,1.0,1.0,-0.011035648554032376,-0.0058651882527316485,-0.009961949819847176,-0.009644122216296762,-0.005240159331758643,0.004559932444466062,0.017543859649122806,132
development,20000,30000,0.0,0.75,R,ridge,-0.0009626280786888383,0.0004589716178261697,-0.0014792519646790552,0.0,-0.0056779212363266,-0.0015239388831213886,-0.003710229983937651,-0.00581447506913053,-0.007382722246823663,0.002848857284982572,0.0043859649122807015,11
development,20000,30000,0.0,0.75,R,ols_std,-0.0009627007477807568,0.0004589733850109491,-0.0014793787757193904,0.0,-0.005678114832629903,-0.0015240915732516874,-0.003710447610538324,-0.00581462753217238,-0.007382874645637101,0.0028489520741112884,0.0043859649122807015,11
development,20000,30000,0.0,0.75,R,ols_raw,-0.0009627007477869107,0.00045897338500498563,-0.0014793787757168737,0.0,-0.005678114832635907,-0.0015240915732520066,-0.003710447610539303,-0.005814627532170676,-0.007382874645649851,0.002848952074110924,0.0043859649122807015,11
development,20000,30000,0.0,0.75,P,ridge,-0.002706148612535026,0.0008286679080716468,0.8951340079831344,0.8951340079831344,-0.008070945201988108,-0.00432309474161748,-0.007169407715243682,-0.008256710608619136,-0.006069684453553307,0.005034947265968757,0.013157894736842105,12
development,20000,30000,0.0,0.75,P,ols_std,-0.002970843285367088,0.0009805143162231942,1.0,1.0,-0.009099633910641355,-0.005147739044787704,-0.008679470114562366,-0.009207692212142524,-0.005836210955441882,0.004162140887733801,0.017543859649122806,12
